;NepolnohospodarskaPoda-zastavanaplochaanadvorie(vm2);7710957;7634889;7650072;7665788;7686199;8083093;8029494;8124684;8223632;8260536;8314652;8351472;8466529;8504720;8549279;8566611;8546679;8550695;8569530;8624056;8665662;8694371;
;NepolnohospodarskaPoda-ostatnaplocha(vm2);4295924;4371630;4362522;4351696;4346017;3957595;4022095;3860251;3811047;3804874;3860081;3849683;3902554;3900408;3892340;3892003;3923459;4017584;3983376;3945938;3921813;3936833;
Bratislava-Raca;Celkovavymerauzemiaobce-mesta(vm2);23596908;23596908;23596908;23596908;23596908;23659304;23659304;23659304;23659304;23659304;23659304;23659304;23659304;23659304;23659304;23659304;23659304;23659304;23659304;23659304;23659304;23659304;
;PolnohospodarskaPoda-spolu(vm2);7555269;7548619;7530835;7560713;7554448;7613715;7602063;7595646;7703789;7694998;7666036;7658019;7585722;7581001;7568303;7541111;7471847;7438832;7420825;7379599;7371135;7364868;
;PolnohospodarskaPoda-ornaPoda(vm2);2553829;2188090;2177784;2162811;2161808;2202773;2204621;2204614;2526285;2504079;2360240;2360314;2339231;2336227;2330495;2329813;2325034;2314075;2310204;2301371;2301205;2360075;
;PolnohospodarskaPoda-vinica(vm2);3096274;3093403;3060215;3058064;3051278;3049922;3047488;3026247;2958280;2936151;2923988;2908936;2871391;2868663;2660857;2640788;2582876;2518804;2467723;2462483;2459080;2396317;
;PolnohospodarskaPoda-zahrada;1471474;1476283;1480015;1533029;1533948;1531629;1524031;1558174;1537981;1559953;1686431;1694335;1695744;1692810;1700072;1695375;1680293;1678906;1675975;1680500;1675433;1673518;
;PolnohospodarskaPoda-ovocnysad(vm2);182106;539575;539557;539579;540254;540075;539245;537854;97482;88680;83258;81248;68319;68244;67545;67566;59192;59192;59192;59192;59192;59032;
;PolnohospodarskaPoda-trvalytravnyporast(vm2);251586;251268;273264;267230;267160;289316;286678;268757;583761;606135;612119;613186;611037;615057;809334;807569;824452;867855;907731;876053;876225;875926;
;NepolnohospodarskaPoda-spolu;16041639;16048289;16066073;16036195;16042460;16045589;16057241;16063658;15955515;15964306;15993268;16001285;16073582;16078303;16091001;16118193;16187457;16220472;16238479;16279705;16288169;16294436;
;NepolnohospodarskaPoda-lesnypozemok(vm2);9201659;9202566;9178314;9178047;9177748;9176601;9176382;9176382;9168042;9166270;9166237;9165865;9165827;9164062;9164126;9153589;9153419;9152898;9152898;9150922;9150942;9150942;
;NepolnohospodarskaPoda-vodnaplocha(vm2);269153;268347;268009;268383;268773;268622;268119;273399;261887;261271;261259;261295;261095;261056;261326;261326;257432;257203;257203;257203;256161;256161;
;NepolnohospodarskaPoda-zastavanaplochaanadvorie(vm2);3385700;3363395;3326397;3341695;3344134;3293209;3771831;3782733;3883263;3924365;3994259;4072114;4116082;4208655;4283284;4298630;4320716;4351320;4365575;4382452;4411577;4463204;
;NepolnohospodarskaPoda-ostatnaplocha(vm2);3185127;3213981;3293353;3248070;3251805;3307157;2840909;2831144;2642323;2612400;2571513;2502011;2530578;2444530;2382265;2404648;2455890;2459051;2462803;2489128;2469489;2424129;
Bratislava-Vajnory;Celkovavymerauzemiaobce-mesta(vm2);13533846;13533846;13533846;13533846;13534244;13534244;13534244;13534244;13534244;13534244;13534244;13534087;13534087;13534087;13534087;13534087;13534087;13534087;13534087;13534087;13534087;13534087;
;PolnohospodarskaPoda-spolu(vm2);6824219;6810360;6801735;6797118;6719331;6717403;6681782;6675486;6664710;6629623;6525572;6486138;6381395;6371712;6201423;6181558;6179107;6174446;6161476;6132225;6126899;5944683;
;PolnohospodarskaPoda-ornaPoda(vm2);4367279;4356509;4348707;4348208;4272556;4265350;4233287;4224622;4213680;4176136;4074036;4033823;3932524;3924598;3751661;3734160;3731203;3726222;3714505;3687398;3683364;3566957;
;PolnohospodarskaPoda-vinica(vm2);1255974;1257030;1257060;1253492;1251541;1251620;1251620;1251621;1251621;1251651;1251651;1251651;1251717;1251693;1251734;1251734;1251734;1251734;1251734;1251734;1251712;1188099;
;PolnohospodarskaPoda-zahrada;760502;756357;755511;755081;754375;753831;752962;752071;752237;754272;754700;755736;754402;753127;755734;753370;753876;754267;753014;751331;750061;749471;
;PolnohospodarskaPoda-ovocnysad(vm2);294366;294366;294366;294366;294079;294079;294079;294079;294079;294079;291701;291701;291701;291701;291701;291701;291701;291401;291401;291401;291401;291401;
;PolnohospodarskaPoda-trvalytravnyporast(vm2);146098;146098;146091;145971;146780;152523;149834;153093;153093;153485;153484;153227;151051;150593;150593;150593;150593;150822;150822;150361;150361;148755;
;NepolnohospodarskaPoda-spolu;6709627;6723486;6732111;6736728;6814913;6816841;6852462;6858758;6869534;6904621;7008672;7047949;7152692;7162375;7332664;7352529;7354980;7359641;7372611;7401862;7407188;7589404;
;NepolnohospodarskaPoda-lesnypozemok(vm2);1620435;1620435;1620435;1620471;1620490;1620488;1620488;1620318;1620318;1620318;1620318;1620318;1620318;1620318;1620318;1620318;1620318;1620318;1620250;1620318;1620319;1620319;
;NepolnohospodarskaPoda-vodnaplocha(vm2);507050;505835;505929;504147;506738;506235;506235;506083;503767;504039;504039;503888;503616;503616;503616;510731;510731;510731;510901;510901;510901;510901;
;NepolnohospodarskaPoda-zastavanaplochaanadvorie(vm2);2567930;2568068;2635056;2643671;2740656;2999306;3184854;3072074;3212869;3502399;3693351;3701396;3801758;3811827;3894677;3907402;3914069;3922872;3929552;3931342;3941435;3946451;
;NepolnohospodarskaPoda-ostatnaplocha(vm2);2014212;2029148;1970691;1968439;1947029;1690812;1540885;1660283;1532580;1277865;1190964;1222347;1227000;1226614;1314053;1314078;1309862;1305720;1311908;1339301;1334533;1511733;
